ID,TxLat,TxLon,RxLat,RxLon,h_tx__meter,h_rx__meter,f__mhz,d__km,L_meas__db,L_fs__db,L_excess__db,Cnt,Sigma__db
9237,39.992310756,-105.2731667,40.016593,-105.286227,19.2,2.82,3475,2.91770599783758,129.328639,112.569926741532,16.7587122584685,1,0
9238,39.992310756,-105.2731667,40.016594,-105.286221,19.2,2.82,3475,2.91761282349249,129.235992,112.569649360945,16.666342639055,1,0
9239,39.992310756,-105.2731667,40.016595,-105.286216,19.2,2.82,3475,2.91755235039916,129.17761,112.569469327442,16.6081406725584,1,0
9240,39.992310756,-105.2731667,40.016596,-105.286211,19.2,2.82,3475,2.91749194276042,129.377112,112.569289485076,16.8078225149237,1,0
9241,39.992310756,-105.2731667,40.016597,-105.286205,19.2,2.82,3475,2.91739901419755,129.995244,112.569012815899,17.4262311841013,1,0
9242,39.992310756,-105.2731667,40.016598,-105.2862,19.2,2.82,3475,2.9173387493045,130.056208,112.568833389082,17.4873746109175,1,0
9243,39.992310756,-105.2731667,40.0166,-105.286194,19.2,2.82,3475,2.91734863238369,129.924255,112.568862814253,17.3553921857471,1,0
9244,39.992310756,-105.2731667,40.016601,-105.286189,19.2,2.82,3475,2.91728851660246,129.773359,112.568683828301,17.2046751716988,1,0
9245,39.992310756,-105.2731667,40.016602,-105.286183,19.2,2.82,3475,2.91719593263216,129.772858,112.568408165848,17.204449834152,1,0
9246,39.992310756,-105.2731667,40.016603,-105.286178,19.2,2.82,3475,2.9171359596362,129.846559,112.568229595676,17.2783294043239,1,0
9247,39.992310756,-105.2731667,40.016604,-105.286172,19.2,2.82,3475,2.9170435442542,129.943192,112.567954420801,17.3752375791992,1,0
9248,39.992310756,-105.2731667,40.016605,-105.286167,19.2,2.82,3475,2.91698371406294,129.706768,112.567776266529,17.1389917334708,1,0
9249,39.992310756,-105.2731667,40.016606,-105.286161,19.2,2.82,3475,2.91689146729821,129.817606,112.567501579398,17.2501044206018,1,0
9250,39.992310756,-105.2731667,40.016608,-105.286156,19.2,2.82,3475,2.91693447144249,129.693168,112.567629635756,17.1255383642439,1,0
9251,39.992310756,-105.2731667,40.016609,-105.28615,19.2,2.82,3475,2.91684240079369,129.545092,112.567355468433,16.977736531567,1,0
9252,39.992310756,-105.2731667,40.01661,-105.286145,19.2,2.82,3475,2.9167828626034,129.593693,112.567178171426,17.0265148285742,1,0
9253,39.992310756,-105.2731667,40.016611,-105.286139,19.2,2.82,3475,2.91669096061924,129.243326,112.566904492134,16.6764215078659,1,0
9254,39.992310756,-105.2731667,40.016612,-105.286134,19.2,2.82,3475,2.91663156529442,128.890426,112.566727611383,16.3236983886175,1,0
9255,39.992310756,-105.2731667,40.016613,-105.286128,19.2,2.82,3475,2.9165398320028,128.556857,112.566454420285,15.9904025797148,1,0
9256,39.992310756,-105.2731667,40.016614,-105.286123,19.2,2.82,3475,2.91648057956254,128.317878,112.566277955908,15.7516000440919,1,0
9257,39.992310756,-105.2731667,40.016616,-105.286117,19.2,2.82,3475,2.91649175593147,128.354636,112.56631124141,15.7883247585896,1,0
9258,39.992310756,-105.2731667,40.016617,-105.286112,19.2,2.82,3475,2.91643265270904,128.353975,112.566135218534,15.7878397814664,1,0
9259,39.992310756,-105.2731667,40.016618,-105.286106,19.2,2.82,3475,2.91634126434038,128.237343,112.565863036105,15.6714799638948,1,0
9260,39.992310756,-105.2731667,40.016619,-105.286101,19.2,2.82,3475,2.91628230404244,127.842546,112.565687429833,15.2768585701669,1,0
9261,39.992310756,-105.2731667,40.01662,-105.286095,19.2,2.82,3475,2.91619108444264,127.614187,112.565415736051,15.048771263949,1,0
9262,39.992310756,-105.2731667,40.016621,-105.28609,19.2,2.82,3475,2.91613226708898,127.0101,112.565240546504,14.4448594534959,1,0
9263,39.992310756,-105.2731667,40.016622,-105.286084,19.2,2.82,3475,2.91604121628597,126.881466,112.564969341531,14.316496658469,1,0
9264,39.992310756,-105.2731667,40.016624,-105.286079,19.2,2.82,3475,2.91608533099765,126.710742,112.565100743178,14.145641256822,1,0
9265,39.992310756,-105.2731667,40.016625,-105.286073,19.2,2.82,3475,2.91599445645332,126.4535,112.564830058862,13.8886699411376,1,0
9266,39.992310756,-105.2731667,40.016626,-105.286068,19.2,2.82,3475,2.91593593134657,126.172675,112.564655728037,13.6080192719627,1,0
9267,39.992310756,-105.2731667,40.016627,-105.286062,19.2,2.82,3475,2.9158452256485,125.900735,112.564385532822,13.3363494671782,1,0
9268,39.992310756,-105.2731667,40.016628,-105.286057,19.2,2.82,3475,2.91578684354504,125.597325,112.56421161907,13.0331133809304,1,0
9269,39.992310756,-105.2731667,40.016629,-105.286052,19.2,2.82,3475,2.91572852702091,125.517676,112.564037897194,12.9536381028056,1,0
9270,39.992310756,-105.2731667,40.016631,-105.286046,19.2,2.82,3475,2.91574089849538,125.449375,112.56407475146,12.8853002485399,1,0
9271,39.992310756,-105.2731667,40.016632,-105.286041,19.2,2.82,3475,2.91568273128837,125.730491,112.563901471667,13.1665895283332,1,0
9272,39.992310756,-105.2731667,40.016633,-105.286035,19.2,2.82,3475,2.91559244823439,125.007698,112.563632512093,12.4440654879069,1,0
9273,39.992310756,-105.2731667,40.016634,-105.28603,19.2,2.82,3475,2.91553442407555,123.712557,112.563459649643,11.1490973503574,1,0
9274,39.992310756,-105.2731667,40.016635,-105.286024,19.2,2.82,3475,2.91544430995687,122.124075,112.563191179691,9.56088382030914,1,0
9275,39.992310756,-105.2731667,40.016636,-105.286019,19.2,2.82,3475,2.91538642886669,120.262519,112.563018734705,7.69950026529474,1,0
9276,39.992310756,-105.2731667,40.016637,-105.286013,19.2,2.82,3475,2.9152964837084,119.038617,112.562750754529,6.47586624547141,1,0
9277,39.992310756,-105.2731667,40.016639,-105.286008,19.2,2.82,3475,2.91534162450092,117.995893,112.562885246821,5.43300775317924,1,0
9278,39.992310756,-105.2731667,40.01664,-105.286003,19.2,2.82,3475,2.91528395838528,117.716816,112.562713436263,5.15410256373683,1,0
9279,39.992310756,-105.2731667,40.016641,-105.285997,19.2,2.82,3475,2.91519426710575,117.521389,112.562446203105,4.95894279689524,1,0
9280,39.992310756,-105.2731667,40.016642,-105.285992,19.2,2.82,3475,2.91513674410577,117.391556,112.562274810287,4.82928118971273,1,0
9281,39.992310756,-105.2731667,40.016643,-105.285986,19.2,2.82,3475,2.91504722184599,117.448677,112.562008067257,4.88666893274286,1,0
9282,39.992310756,-105.2731667,40.016644,-105.285981,19.2,2.82,3475,2.914989841985,118.038785,112.56183709231,5.47694790769022,1,0
9283,39.992310756,-105.2731667,40.016645,-105.285975,19.2,2.82,3475,2.91490048877006,118.94585,112.561570839561,6.38427916043935,1,0
9284,39.992310756,-105.2731667,40.016647,-105.28597,19.2,2.82,3475,2.91494617866849,120.567091,112.561706986337,8.00538401366295,1,0
9285,39.992310756,-105.2731667,40.016648,-105.285964,19.2,2.82,3475,2.91485700191047,122.112129,112.561441255418,9.55068774458199,1,0
9286,39.992310756,-105.2731667,40.016649,-105.285959,19.2,2.82,3475,2.91479991463066,123.887192,112.561271141183,11.3259208588166,1,0
9287,39.992310756,-105.2731667,40.01665,-105.285954,19.2,2.82,3475,2.91474289300546,124.709014,112.561101219267,12.1479127807332,1,0
9288,39.992310756,-105.2731667,40.016651,-105.285948,19.2,2.82,3475,2.9146539628809,124.957498,112.560836204801,12.3966617951992,1,0
