ID,TxLat,TxLon,RxLat,RxLon,h_tx__meter,h_rx__meter,f__mhz,d__km,L_meas__db,L_fs__db,L_excess__db
965,39.99476239,-105.2621935,39.98852288,-105.2458721,8.37,3,3500,1.556598002,135.7144071,107.1753384,28.53906871
966,39.99476239,-105.2621935,39.98859927,-105.245817,8.37,3,3500,1.557063662,136.7948314,107.1779452,29.61688621
967,39.99476239,-105.2621935,39.98867578,-105.2457609,8.37,3,3500,1.557663807,136.9802811,107.1813009,29.79898016
968,39.99476239,-105.2621935,39.98874547,-105.2456991,8.37,3,3500,1.559083687,138.0168129,107.1892243,30.82758863
969,39.99476239,-105.2621935,39.98881398,-105.2456385,8.37,3,3500,1.560532924,138.3094146,107.1973052,31.11210944
970,39.99476239,-105.2621935,39.98888018,-105.2455798,8.37,3,3500,1.561983641,138.345434,107.2053837,31.14005028
971,39.99476239,-105.2621935,39.98894014,-105.2455202,8.37,3,3500,1.563845391,139.3439228,107.2157388,32.12818398
972,39.99476239,-105.2621935,39.98899628,-105.2454633,8.37,3,3500,1.565709123,139.1596616,107.2260963,31.93356527
973,39.99476239,-105.2621935,39.98904747,-105.2454115,8.37,3,3500,1.567441161,139.694155,107.2357152,32.45843978
974,39.99476239,-105.2621935,39.98909072,-105.2453677,8.37,3,3500,1.568928549,139.6703557,107.2439677,32.42638804
975,39.99476239,-105.2621935,39.989124,-105.245334,8.37,3,3500,1.570088414,138.4970019,107.2503946,31.2466073
976,39.99476239,-105.2621935,39.98914535,-105.2453123,8.37,3,3500,1.570839447,138.4970019,107.2545536,31.24244827
977,39.99476239,-105.2621935,39.98916511,-105.2452923,8.37,3,3500,1.571539406,140.6503418,107.258426,33.39191586
978,39.99476239,-105.2621935,39.98918055,-105.2452767,8.37,3,3500,1.57208926,142.4248741,107.2614642,35.1634099
979,39.99476239,-105.2621935,39.9892197,-105.2452933,8.37,3,3500,1.569071507,135.8518375,107.2447757,28.60706175
980,39.99476239,-105.2621935,39.98923562,-105.2453205,8.37,3,3500,1.566243166,135.8518375,107.2291079,28.62272963
981,39.99476239,-105.2621935,39.98926096,-105.2453638,8.37,3,3500,1.561742971,135.5968181,107.2041172,28.39270091
982,39.99476239,-105.2621935,39.98929232,-105.2454173,8.37,3,3500,1.556172632,136.3340937,107.1730853,29.1610084
983,39.99476239,-105.2621935,39.98932813,-105.2454784,8.37,3,3500,1.54981604,139.0829931,107.1375356,31.94545747
984,39.99476239,-105.2621935,39.98945088,-105.245688,8.37,3,3500,1.528033597,134.4250924,107.0146012,27.41049122
985,39.99476239,-105.2621935,39.98949458,-105.2457626,8.37,3,3500,1.52028509,138.0100409,106.9704459,31.03959498
986,39.99476239,-105.2621935,39.98953533,-105.2458321,8.37,3,3500,1.513061629,136.9045266,106.9290818,29.97544483
987,39.99476239,-105.2621935,39.98957134,-105.2458936,8.37,3,3500,1.506679609,138.281347,106.8923734,31.38897364
988,39.99476239,-105.2621935,39.98960232,-105.2459465,8.37,3,3500,1.50119134,138.281347,106.8606838,31.42066319
989,39.99476239,-105.2621935,39.98961916,-105.2460199,8.37,3,3500,1.494679618,138.985994,106.8229305,32.16306352
990,39.99476239,-105.2621935,39.98957808,-105.2460589,8.37,3,3500,1.493362127,139.9362942,106.8152681,33.12102606
991,39.99476239,-105.2621935,39.98953519,-105.2460995,8.37,3,3500,1.49200829,137.4922108,106.8073849,30.68482591
992,39.99476239,-105.2621935,39.98949006,-105.2461422,8.37,3,3500,1.490607299,136.2959359,106.7992178,29.49671813
993,39.99476239,-105.2621935,39.98944181,-105.2461879,8.37,3,3500,1.489136941,136.2959359,106.7906382,29.5052977
994,39.99476239,-105.2621935,39.98938897,-105.246238,8.37,3,3500,1.487558441,137.9768714,106.781417,31.19545444
995,39.99476239,-105.2621935,39.98933451,-105.2462895,8.37,3,3500,1.485967214,136.3837821,106.7721132,29.61166887
996,39.99476239,-105.2621935,39.9892785,-105.2463426,8.37,3,3500,1.484368133,137.8211493,106.7627512,31.0583981
997,39.99476239,-105.2621935,39.98922147,-105.2463966,8.37,3,3500,1.482778998,135.9985531,106.753438,29.24511511
998,39.99476239,-105.2621935,39.98916182,-105.2464531,8.37,3,3500,1.481159704,135.9985531,106.7439387,29.25461444
999,39.99476239,-105.2621935,39.98910209,-105.2465097,8.37,3,3500,1.479581823,137.1884187,106.7346707,30.45374796
1000,39.99476239,-105.2621935,39.98903635,-105.2465609,8.37,3,3500,1.478741501,135.1240171,106.7297236,28.39429351
1001,39.99476239,-105.2621935,39.9889682,-105.246611,8.37,3,3500,1.478160249,136.4477723,106.7262999,29.72147241
