ID,TxLat,TxLon,RxLat,RxLon,h_tx__meter,h_rx__meter,f__mhz,d__km,L_meas__db,L_fs__db,L_excess__db,Cnt,Sigma__db
301,39.992347,-105.2731969,39.980232,-105.250784,16.8,2.82,3475,2.33967584381692,112.169482,110.652210001995,1.51727199800477,1,0
302,39.992347,-105.2731969,39.98023,-105.250782,16.8,2.82,3475,2.33994331025521,111.86062,110.653202896456,1.20741710354434,1,0
303,39.992347,-105.2731969,39.980227,-105.250779,16.8,2.82,3475,2.34034451550522,111.508135,110.654692046124,0.853442953875756,1,0
304,39.992347,-105.2731969,39.980225,-105.250777,16.8,2.82,3475,2.34061198939226,111.143217,110.655684684558,0.487532315442152,1,0
305,39.992347,-105.2731969,39.980222,-105.250775,16.8,2.82,3475,2.34094333243758,111.060351,110.656914194381,0.403436805618625,1,0
306,39.992347,-105.2731969,39.980219,-105.250772,16.8,2.82,3475,2.34134455817556,111.085587,110.658402783964,0.427184216035911,1,0
307,39.992347,-105.2731969,39.980216,-105.25077,16.8,2.82,3475,2.34167592350997,111.291962,110.659631991797,0.632330008202786,1,0
308,39.992347,-105.2731969,39.980214,-105.250767,16.8,2.82,3475,2.34201328261116,111.577724,110.660883254978,0.916840745022228,1,0
309,39.992347,-105.2731969,39.980211,-105.250765,16.8,2.82,3475,2.34234466346326,111.762653,110.662112169398,1.10054083060218,1,0
310,39.992347,-105.2731969,39.980208,-105.250762,16.8,2.82,3475,2.34274591634645,111.714543,110.663599969136,1.05094303086406,1,0
311,39.992347,-105.2731969,39.980206,-105.25076,16.8,2.82,3475,2.34301342197906,111.61878,110.664591707822,0.954188292177918,1,0
312,39.992347,-105.2731969,39.980203,-105.250757,16.8,2.82,3475,2.34341468599227,111.627889,110.666079124192,0.961809875807603,1,0
313,39.992347,-105.2731969,39.9802,-105.250755,16.8,2.82,3475,2.34374610459178,111.739661,110.667307443643,1.07235355635677,1,0
314,39.992347,-105.2731969,39.980197,-105.250752,16.8,2.82,3475,2.34414738456894,111.804443,110.668794454222,1.13564854577851,1,0
315,39.992347,-105.2731969,39.980194,-105.250749,16.8,2.82,3475,2.34454867121288,111.767815,110.670281234968,1.097533765032,1,0
316,39.992347,-105.2731969,39.980192,-105.250747,16.8,2.82,3475,2.34481619934263,111.785169,110.671272294473,1.11389670552744,1,0
317,39.992347,-105.2731969,39.980189,-105.250744,16.8,2.82,3475,2.34521749708902,111.782595,110.672758692299,1.1098363077012,1,0
318,39.992347,-105.2731969,39.980186,-105.250742,16.8,2.82,3475,2.34554896264868,111.652542,110.673986241485,0.978555758515142,1,0
319,39.992347,-105.2731969,39.980183,-105.250739,16.8,2.82,3475,2.34595027632157,111.735659,110.675472233959,1.06018676604072,1,0
320,39.992347,-105.2731969,39.98018,-105.250736,16.8,2.82,3475,2.34635159664392,111.849049,110.676957996867,1.17209100313275,1,0
321,39.992347,-105.2731969,39.980177,-105.250733,16.8,2.82,3475,2.34675292361219,111.735907,110.67844353027,1.05746346973002,1,0
322,39.992347,-105.2731969,39.980174,-105.25073,16.8,2.82,3475,2.34715425722426,111.520291,110.679928834234,0.840362165766109,1,0
323,39.992347,-105.2731969,39.980171,-105.250728,16.8,2.82,3475,2.34748577273171,111.273025,110.681155555387,0.591869444612868,1,0
324,39.992347,-105.2731969,39.980168,-105.250725,16.8,2.82,3475,2.3478871222307,110.99923,110.682640454474,0.316589545525616,1,0
325,39.992347,-105.2731969,39.980165,-105.250722,16.8,2.82,3475,2.34828847836184,110.602337,110.684125124285,-0.0817881242847278,1,0
326,39.992347,-105.2731969,39.980162,-105.250719,16.8,2.82,3475,2.34868984112265,110.235777,110.685609564883,-0.449832564883152,1,0
327,39.992347,-105.2731969,39.980159,-105.250716,16.8,2.82,3475,2.34909121050712,110.000212,110.687093776322,-0.686881776321613,1,0
328,39.992347,-105.2731969,39.980156,-105.250713,16.8,2.82,3475,2.34949258651277,109.831618,110.688577758665,-0.856959758665042,1,0
329,39.992347,-105.2731969,39.980153,-105.25071,16.8,2.82,3475,2.34989396914033,109.728468,110.69006151199,-0.961593511990188,1,0
330,39.992347,-105.2731969,39.98015,-105.250707,16.8,2.82,3475,2.35029535838023,109.789237,110.691545036336,-0.902308036335839,1,0
331,39.992347,-105.2731969,39.980147,-105.250704,16.8,2.82,3475,2.35069675423462,109.990252,110.693028331784,-0.702776331783809,1,0
332,39.992347,-105.2731969,39.980144,-105.250701,16.8,2.82,3475,2.35109815669429,110.235209,110.694511398374,-0.459302398374192,1,0
333,39.992347,-105.2731969,39.980141,-105.250698,16.8,2.82,3475,2.35149956576172,110.491566,110.69599423619,-0.204428236190068,1,0
334,39.992347,-105.2731969,39.980138,-105.250695,16.8,2.82,3475,2.35190098142949,110.948335,110.697476845278,0.250858154721996,1,0
335,39.992347,-105.2731969,39.980134,-105.250692,16.8,2.82,3475,2.35236642102929,111.435437,110.699195606847,0.736241393153207,1,0
336,39.992347,-105.2731969,39.980131,-105.250689,16.8,2.82,3475,2.35276785469069,111.895965,110.700677736063,1.1952872639369,1,0
337,39.992347,-105.2731969,39.980128,-105.250686,16.8,2.82,3475,2.35316929494254,112.351941,110.702159636744,1.64978136325637,1,0
338,39.992347,-105.2731969,39.980125,-105.250683,16.8,2.82,3475,2.35357074177883,112.87934,110.70364130894,2.17569869105999,1,0
339,39.992347,-105.2731969,39.980122,-105.25068,16.8,2.82,3475,2.3539721951992,113.288496,110.705122752725,2.58337324727526,1,0
340,39.992347,-105.2731969,39.980119,-105.250677,16.8,2.82,3475,2.35437365520013,113.700909,110.706603968159,2.99430503184149,1,0
341,39.992347,-105.2731969,39.980115,-105.250674,16.8,2.82,3475,2.35483917137916,114.095172,110.708321207246,3.38685079275383,1,0
342,39.992347,-105.2731969,39.980112,-105.250671,16.8,2.82,3475,2.35524064931894,114.463356,110.709801943547,3.75355405645284,1,0
343,39.992347,-105.2731969,39.980109,-105.250668,16.8,2.82,3475,2.35564213382232,114.615493,110.711282451663,3.90421054833719,1,0
344,39.992347,-105.2731969,39.980106,-105.250665,16.8,2.82,3475,2.35604362489353,114.560438,110.712762731682,3.84767526831759,1,0
345,39.992347,-105.2731969,39.980103,-105.250661,16.8,2.82,3475,2.35651488618329,114.637469,110.714499929664,3.92296907033584,1,0
346,39.992347,-105.2731969,39.980099,-105.250658,16.8,2.82,3475,2.35698046289839,114.780421,110.716215831635,4.06420516836539,1,0
347,39.992347,-105.2731969,39.980096,-105.250655,16.8,2.82,3475,2.35738197582644,114.727911,110.717695351733,4.01021564826694,1,0
348,39.992347,-105.2731969,39.980093,-105.250652,16.8,2.82,3475,2.35778349530254,114.667738,110.719174643981,3.94856335601867,1,0
349,39.992347,-105.2731969,39.980089,-105.250649,16.8,2.82,3475,2.35824911426681,114.589271,110.720889778411,3.86838122158895,1,0
350,39.992347,-105.2731969,39.980086,-105.250646,16.8,2.82,3475,2.35865065160509,114.489831,110.722368592542,3.76746240745788,1,0
351,39.992347,-105.2731969,39.980083,-105.250642,16.8,2.82,3475,2.35912194082041,114.353589,110.7241039734,3.62948502659951,1,0
352,39.992347,-105.2731969,39.98008,-105.250639,16.8,2.82,3475,2.35952348864062,114.25646,110.725582279033,3.53087772096656,1,0
353,39.992347,-105.2731969,39.980076,-105.250636,16.8,2.82,3475,2.3599891566035,114.274054,110.727296329127,3.54675767087254,1,0
354,39.992347,-105.2731969,39.980073,-105.250633,16.8,2.82,3475,2.36039072225126,114.288637,110.728774157182,3.55986284281765,1,0
355,39.992347,-105.2731969,39.98007,-105.25063,16.8,2.82,3475,2.36079229442021,114.127657,110.730251757833,3.39740524216658,1,0
356,39.992347,-105.2731969,39.980067,-105.250627,16.8,2.82,3475,2.36119387311177,114.067123,110.731729131159,3.33539386884081,1,0
357,39.992347,-105.2731969,39.980063,-105.250624,16.8,2.82,3475,2.36165959445633,114.02264,110.73344216513,3.28919783487022,1,0
358,39.992347,-105.2731969,39.98006,-105.250621,16.8,2.82,3475,2.36206119093444,114.056896,110.734919061354,3.32197693864589,1,0
